#CurrentValue,#time
1.987413,560542
1.973181,561524
1.959047,562927
1.945212,564659
1.931379,566168
1.917753,568397
1.904440,570682
1.891137,573199
1.877948,576062
1.865296,577803
1.852557,578476
1.839730,579256
1.827242,579997
1.814775,580700
1.802440,581391
1.790347,582151
1.777952,582868
1.766136,583674
1.754462,584375
1.742711,585153
1.731218,585880
1.719763,586654
1.708804,587358
1.697774,588070
1.686904,588832
1.675964,589541
1.665539,590213
1.655167,590871
1.644848,591590
1.634704,592342
1.624497,593210
1.614467,594117
1.604741,594784
1.594832,595611
1.585109,596536
1.575574,597652
1.566106,598878
1.556580,599807
1.547502,601202
1.537861,603444
1.529055,605301
1.520199,606765
1.511290,608482
1.502459,610704
1.493969,612423
1.485562,614524
1.477240,616807
1.469004,618249
1.460989,618932
1.453334,619708
1.445910,620424
1.438174,621044
1.430808,621721
1.423678,622341
1.416513,623013
1.409866,623631
1.403327,624383
1.397318,625054
1.390861,625803
1.384798,626538
1.379133,627283
1.373446,628084
1.368164,628968
1.362575,629660
1.357250,630388
1.351905,631140
1.346975,632336
1.341880,634302
1.336913,636012
1.332367,638044
1.327659,639384
1.323082,640736
1.318786,641969
1.314327,643649
1.309853,645882
1.305663,647732
1.301309,648913
1.297393,649616
1.293617,650218
1.289526,650931
1.286031,651613
1.282374,652226
1.278860,653008
1.275642,653688
1.272263,654432
1.269183,655104
1.266250,655842
1.263620,656610
1.260985,657341
1.258655,657933
1.256321,658475
1.253826,659496
1.251639,660479
1.249605,661115
1.247881,662092
1.245841,664144
1.244269,665806
1.242381,666777
1.241120,667777
1.239542,668875
1.238279,670290
1.237014,671934
1.235747,673936
1.234639,676165
1.233529,677875
1.232576,678670
1.232100,679343
1.231465,680275
1.230670,681012
1.230193,681735
1.230034,682595
1.229715,683360
1.229874,684139
1.229874,684977
1.230034,685751
1.230193,686520
1.230670,687127
1.231306,687749
1.231782,688369
1.232576,689027
1.233529,689728
1.234480,690438
1.235431,691046
1.236381,691967
1.237646,693235
1.238595,694572
1.240016,696342
1.241277,698445
1.242696,700492
1.244269,702151
1.245841,703652
1.247411,705498
1.248978,706852
1.250701,707414
1.252577,707952
1.254450,708510
1.256476,709126
1.258655,709698
1.260985,710236
1.263156,710841
1.265632,711427
1.268258,711961
1.270724,712658
1.273647,713257
1.276562,713825
1.279472,714421
1.282374,715096
1.285727,715916
1.288767,716879
1.291952,717440
1.295431,717997
1.298750,719117
1.302211,721348
1.305363,723228
1.308956,724688
1.312539,726223
1.316261,727929
1.319676,729409
1.323378,731220
1.327069,732684
1.331045,734053
1.334862,734563
1.338960,735156
1.343046,735733
1.346975,736255
1.351181,736906
1.355808,737560
1.360275,738117
1.365014,738749
1.369594,739576
1.374301,740910
1.379417,742208
1.384374,743865
1.389735,745640
1.394935,747501
1.400116,748565
1.405556,749655
1.410837,750915
1.416513,752954
1.421890,754327
1.427796,754855
1.433268,755449
1.439263,756008
1.445097,756833
1.451043,757712
1.457234,758582
1.463265,759448
1.469404,760208
1.476047,760969
1.482265,761632
1.488589,762215
1.495148,762823
1.501547,763430
1.508180,763985
1.514782,764598
1.521743,765473
1.528287,766259
1.535059,767144
1.541674,768068
1.548639,769020
1.555196,770418
1.562102,771791
1.568977,772613
1.575698,774537
1.582638,775532
1.589670,776736
1.596304,777738
1.603399,779034
1.610462,780483
1.617374,781993
1.624376,783887
1.631589,785398
1.638769,786947
1.646038,788312
1.653392,789828
1.660833,791264
1.668357,792571
1.676314,793683
1.683769,794469
1.691885,795199
1.699963,796046
1.707773,796772
1.715890,797520
1.724536,798486
1.732913,799151
1.741587,799733
1.750107,800454
1.759030,801253
1.767797,801956
1.776631,802583
1.785531,803342
1.794496,804071
1.803525,804823
1.812509,805806
1.821664,807019
1.830559,808280
1.839730,809942
1.848644,811564
1.857832,813419
1.866659,815522
1.875758,816782
1.884606,818442
1.893929,819860
1.902692,821524
1.911722,823821
1.920710,825868
1.929858,828299
1.939166,830651
1.948428,832789
1.957647,834774
1.967122,836250
1.976650,837961
1.986329,839771
1.996060,841576
2.005938,843435
2.016157,844480
2.026420,845173
2.036920,845910
2.047653,846556
2.058425,847295
2.069519,848076
2.080555,848951
2.091906,849604
2.103289,850172
2.114796,851490
2.126333,853821
2.138356,855010
2.149949,856218
2.162022,857415
2.173579,859055
2.185611,860351
2.197400,861282
2.209391,862050
2.221142,863179
2.232918,864628
2.244807,866401
2.256460,868049
2.268399,869779
2.280189,871514
2.292260,873414
2.304013,875438
2.315706,876973
2.327677,878426
2.339670,879457
2.351602,880087
2.363640,880616
2.375369,881127
2.387533,881787
2.399717,882498
2.411921,883248
2.424063,883941
2.436787,884721
2.449205,885435
2.461641,886210
2.473934,886949
2.486639,887704
2.499280,888394
2.511857,889259
2.524449,890035
2.536979,891172
2.549601,891982
2.562237,892838
2.574735,893607
2.587323,894326
2.599852,895021
2.612244,895709
2.624728,896421
2.637079,897089
2.649667,897657
2.662049,898358
2.674447,899135
2.686568,899899
2.699071,900658
2.711083,901325
2.723546,901991
2.735522,902806
2.747659,903440
2.759602,904068
2.771846,904834
2.783755,905490
2.795614,906177
2.807631,906857
2.819667,907538
2.831375,908293
2.843173,909055
2.854991,909835
2.866623,910512
2.878412,911195
2.890154,911934
2.901578,912843
2.913226,914185
2.924894,915795
2.936450,917410
2.947827,919595
2.959227,921575
2.970716,923838
2.982028,925213
2.993560,926722
3.004982,928136
3.016296,929015
3.027568,929569
3.039120,930166
3.050692,930872
3.062349,931581
3.073898,932264
3.085657,932956
3.097435,933570
3.109295,934356
3.121172,934982
3.133254,935609
3.145103,936355
3.156969,937118
3.168915,937839
3.181062,938671
3.192918,939456
3.204668,940345
3.216559,941064
3.228527,941979
3.240269,942891
3.251970,943974
3.263688,945198
3.275185,946752
3.286761,948236
3.298238,950084
3.309615,951624
3.320894,953091
3.332194,954340
3.343456,955524
3.354622,956268
3.365808,957015
3.376900,957780
3.387956,958604
3.399148,959318
3.410362,960072
3.421595,960887
3.432621,961607
3.443839,962347
3.455134,963117
3.466336,963824
3.477445,964484
3.488576,965324
3.499782,966146
3.510954,966890
3.522145,967610
3.533134,968233
3.544311,968921
3.555342,969624
3.566394,970298
3.577303,970911
3.588178,971659
3.599129,972414
3.609939,973123
3.620663,973859
3.631355,974617
3.641961,975354
3.652483,976182
3.663029,977534
3.673331,978645
3.683817,980304
3.694115,982196
3.704383,984209
3.714518,985524
3.724783,986871
3.734811,988209
3.744968,989668
3.754837,991028
3.764888,991595
3.774913,992150
3.784963,992784
3.794883,993414
3.804983,993954
3.814902,994721
3.825001,995430
3.835073,996061
3.845169,996810
3.855138,997485
3.865334,998107
3.875452,998801
3.885545,999557
3.895511,1000338
3.905552,1001093
3.915567,1002379
3.925556,1003234
3.935471,1003945
3.945360,1004947
3.955126,1006637
3.965016,1008633
3.974832,1010507
3.984477,1012251
3.994147,1013855
4.003746,1015500
4.013272,1017298
4.022825,1019093
4.032258,1021491
4.041814,1022948
4.051154,1023532
4.060618,1024087
4.070012,1024808
4.079383,1025580
4.088878,1026387
4.098159,1027158
4.107753,1027828
4.117229,1028556
4.126779,1029174
4.136307,1029947
4.145765,1030889
4.155344,1031739
4.164853,1032615
4.174434,1033389
4.183948,1034248
4.193392,1034944
4.202816,1035625
4.212265,1036523
4.221646,1038136
4.230961,1039861
4.240162,1041245
4.249436,1042514
4.258552,1044025
4.267786,1045567
4.276863,1046981
4.285874,1048963
4.294867,1050920
4.303887,1052416
4.312752,1053010
4.321689,1053562
4.330381,1054193
4.339192,1054823
4.347985,1055369
4.356715,1056012
4.365518,1056768
4.374257,1057520
4.382980,1058242
4.391774,1058976
4.400418,1059784
4.409089,1060552
4.417831,1061429
4.426468,1062289
4.435133,1063122
4.443604,1064056
4.452191,1064886
4.460761,1065658
4.469272,1066691
4.477591,1067829
4.486026,1069349
4.494357,1071182
4.502587,1072388
4.510931,1073535
4.519000,1074466
4.527142,1075687
4.535269,1077436
4.543338,1079652
4.551221,1081667
4.559262,1083654
4.567203,1085027
4.575088,1086783
4.582959,1088911
4.590859,1090383
4.598746,1091872
4.606534,1093969
4.614436,1096095
4.622452,1097280
4.630412,1098087
4.638401,1098867
4.646376,1099592
4.654505,1100364
4.662536,1101118
4.670638,1101859
4.678768,1102711
4.687008,1103437
4.695109,1104155
4.703404,1104849
4.711561,1105603
4.719827,1106298
4.727955,1107121
4.736151,1108074
4.744252,1108956
4.752420,1109726
4.760328,1110590
4.768304,1111281
4.776268,1112129
4.784013,1113325
4.791788,1114715
4.799508,1116415
4.807053,1118313
4.814586,1120027
4.822108,1121760
4.829415,1123533
4.836711,1124951
4.843956,1126363
4.851190,1127731
4.858292,1129062
4.865344,1130941
4.872425,1132539
4.879497,1134001
4.886598,1135048
4.893649,1135887
4.900610,1137302
4.907680,1139120
4.914821,1139820
4.921831,1140384
4.928911,1141065
4.936021,1141702
4.943081,1142255
4.950170,1142932
4.957289,1143796
4.964397,1144407
4.971456,1144966
4.978506,1145620
4.985663,1146252
4.992692,1146766
4.999711,1147352
5.006681,1147940
5.013564,1148593
5.020437,1149310
5.027262,1149918
5.033960,1150487
5.040534,1151517
5.047176,1152744
5.053577,1154312
5.060009,1155897
5.066316,1157568
5.072616,1159803
5.078715,1162156
5.084883,1164559
5.090891,1167040
5.096891,1169615
5.102807,1171285
5.108679,1172012
5.114390,1172732
5.120133,1173517
5.125908,1174349
5.131639,1175212
5.137363,1176068
5.143157,1176779
5.148944,1177426
5.154687,1178323
5.160499,1179246
5.166419,1180123
5.172180,1181537
5.178087,1182736
5.184024,1183757
5.189993,1185054
5.195841,1186437
5.201758,1188198
5.207631,1190055
5.213573,1191610
5.219432,1193231
5.225285,1194664
5.231169,1196347
5.236972,1198376
5.242805,1199960
5.248632,1201448
5.254379,1203308
5.260156,1204658
5.265815,1205443
5.271579,1206096
5.277189,1206684
5.282830,1207273
5.288428,1207980
5.294020,1208688
5.299532,1209488
5.305038,1210320
5.310539,1211099
5.315997,1212056
5.321303,1213389
5.326750,1214446
5.332155,1215521
5.337370,1216425
5.342618,1217372
5.347750,1219150
5.352914,1220903
5.358073,1222489
5.363155,1224041
5.368158,1225921
5.373084,1227612
5.378041,1229654
5.382958,1231522
5.387834,1233090
5.392705,1234745
5.397536,1236488
5.402363,1238207
5.407185,1239099
5.411967,1239863
5.416780,1240553
5.421554,1241269
5.426286,1241999
5.431087,1242710
